37898,41600,0.911009615384615,84995,91400,0.92992341356674
737025,738800,0.997597455332972,1893117,1896100,0.99842677073994
19766,22400,0.882410714285714,46654,52300,0.892045889101338
35286,39800,0.886582914572864,79709,87100,0.915143513203215
95242,97500,0.976841025641026,215788,218400,0.988040293040293
30216,35200,0.858409090909091,68283,74900,0.911655540720961
33350,36100,0.92382271468144,72501,76600,0.946488250652742
1081604,1463900,0.738851014413553,2486147,3393700,0.73257712820815
84648,93300,0.907266881028939,272902,295000,0.925091525423729
6444,7400,0.870810810810811,23421,25800,0.907790697674419
444196,480700,0.924060744747244,1036236,1114000,0.930193895870736
419216,466000,0.899605150214592,593729,667400,0.889614923584058
1264477,1338900,0.944414818134289,3782327,4000300,0.945510836687248
2216,2400,0.923333333333333,7101,7600,0.934342105263158
3142700,3311300,0.949083441548636,7160639,7537900,0.949951445362767
157881,160900,0.981236793039155,322205,326400,0.987147671568627
102824,105200,0.977414448669201,280738,283600,0.98990832157969
79271,105700,0.74996215704825,215267,253500,0.849179487179487
1281997,1298200,0.987518872284702,3857591,3901800,0.9886695883951
,,,,,
,,0.910012210320022,,,0.92693164725381
,,0.071326952477869,,,0.061802644079724
,,0.923333333333333,,,0.930193895870736
