1,0.002645,751,906
2,0.005269,751,906
3,0.009733,376,906
4,0.011339,751,906
5,0.014571,751,906
6,0.013726,611,906
7,0.016086,218,906
8,0.019671,751,906
9,0.020793,218,906
10,0.025654,611,906
11,0.026567,751,906
12,0.028505,751,906
13,0.03647,751,456
14,0.032789,751,906
15,0.035663,611,906
16,0.035952,611,906
17,0.050447,376,906
18,0.051531,218,456
19,0.046337,751,906
20,0.043074,611,906
21,0.047882,751,906
22,0.051012,751,906
23,0.050769,376,906
24,0.057194,611,906
25,0.07222,376,456
26,0.054219,376,906
27,0.063097,218,906
28,0.065104,751,456
29,0.062483,449,710
30,0.068652,218,906
31,0.079506,218,906
32,0.080972,611,906
33,0.07699,376,906
34,0.084154,218,456
35,0.102544,751,906
36,0.094293,611,906
37,0.084601,611,906
38,0.091033,218,456
39,0.104949,611,906
40,0.100249,611,906
41,0.11022,751,906
42,0.107363,449,710
43,0.111875,611,906
44,0.102122,376,906
45,0.113413,751,906
46,0.127009,611,906
47,0.129791,611,906
48,0.116436,751,906
49,0.119774,376,906
50,0.120884,611,906
51,0.131386,611,906
52,0.128859,611,906
53,0.175231,751,906
54,0.133741,611,906
55,0.149357,611,906
56,0.141637,376,906
57,0.140011,449,710
58,0.156925,376,906
59,0.166255,218,906
60,0.207812,611,906
61,0.158668,376,906
62,0.153138,611,906
63,0.169175,611,906
64,0.165227,751,456
65,0.188722,218,906
66,0.173535,376,906
67,0.192549,611,906
68,0.185903,611,906
69,0.179875,751,906
70,0.189119,218,906
71,0.206351,218,906
72,0.195579,611,906
73,0.243862,376,906
74,0.199898,611,906
75,0.199467,611,906
76,0.211388,611,906
77,0.222038,751,906
78,0.205854,218,906
79,0.217345,218,906
80,0.234531,218,906
81,0.220905,376,906
82,0.208672,751,906
83,0.21427,218,906
84,0.268574,611,906
85,0.240334,376,906
86,0.253997,751,906
87,0.253819,611,906
88,0.253192,611,906
89,0.276136,611,906
90,0.272739,611,906
91,0.273919,611,906
92,0.249495,611,906
93,0.267028,751,906
94,0.269131,611,906
95,0.285546,611,906
96,0.263677,218,906
97,0.277551,611,906
98,0.277209,218,906
99,0.285436,376,906
100,0.308733,611,906
